UNS,Name,Formula,Standard,Category
N06625,Inconel 625,Ni58Cr21Mo9Nb3.5Fe5,ASTM B446,Nickel Alloy
N07718,Inconel 718,Ni52.5Cr19Fe18Nb5Mo3,API 6A718,Nickel Alloy
N08825,Incoloy 825,Ni42Fe30Cr21.5Mo3Cu2.2,ASTM B423,Nickel Alloy
N10276,Hastelloy C-276,Ni57Mo16Cr16Fe5W4,ASTM B575,Nickel Alloy
S31603,316L Stainless,Fe65Cr17Ni12Mo2.5,ASTM A276,Austenitic SS
S30400,304 Stainless,Fe69Cr19Ni9Mn2,ASTM A240,Austenitic SS
S31803,Duplex 2205,Fe66Cr22Ni5Mo3N0.15,ASTM A182,Duplex SS
S32750,Super Duplex 2507,Fe63Cr25Ni7Mo4N0.3,ASTM A182,Duplex SS
S32760,Zeron 100,Fe63Cr25Ni7Mo3.5W0.7Cu0.7N0.2,ASTM A182,Duplex SS
S41000,410 Stainless,Fe87Cr12.5C0.15,API 5CT,Martensitic SS
S42000,420 Stainless,Fe86Cr13C0.3,API 5CT,Martensitic SS
N04400,Monel 400,Ni63Cu31Fe2.5,ASTM B127,Nickel-Copper
N05500,Monel K-500,Ni63Cu29Al3Ti0.6,ASTM B865,Nickel-Copper
R60702,Zirconium 702,Zr99.2Hf0.2,ASTM B550,Reactive Metal
R50400,Titanium Gr 2,Ti99.6Fe0.3O0.2,ASTM B348,Reactive Metal
R56400,Titanium Gr 5,Ti90Al6V4,ASTM B348,Reactive Metal
A96061,Aluminum 6061,Al97Mg1Si0.6Cu0.3,ASTM B209,Aluminum
K03006,Carbon Steel 1030,Fe99C0.3Mn0.7,ASTM A29,Carbon Steel
K02600,L80 Type 1,Fe98C0.4Mn1.4,API 5CT,Carbon Steel
